Epoch,GRU_Train_Loss,GRU_Val_Loss
1,0.1383245572673552,0.11578638095279477
2,0.10487487938956025,0.10090218980075263
3,0.0976961691055901,0.08957388283916334
4,0.09342508018541874,0.08841829588556005
5,0.08873130157169866,0.08532447707126015
6,0.08684467359946764,0.08765826895536931
7,0.08444456556855245,0.09336534932368795
8,0.08354642215152708,0.08607262919247796
9,0.0816546978981584,0.0811638374532966
10,0.0789809250669886,0.0870694638192223
11,0.07663837134565074,0.08245072555472546
12,0.07328981344100453,0.08264887665473786
13,0.06975484540170142,0.08439526349747542
14,0.0666779276243476,0.0886212345858702
15,0.0632656864123583,0.08404732519367743
16,0.05995428680433741,0.08867708153314781
17,0.05767885851526109,0.0857234321719014
18,0.05525648924951994,0.08819952848868046
19,0.05310682706545364,0.08731614777312285
20,0.051414507783167036,0.0838402991635305
21,0.04975242490753521,0.08856390524693264
22,0.04806047219092616,0.08694587352569888
23,0.0471184455315104,0.09186368969920485
24,0.04597805522466269,0.09150537708370457
25,0.04455222517062947,0.08736552780957063
26,0.04363302040879285,0.0928980339657666
27,0.04299685132044608,0.08694304557412195
28,0.042122462248512356,0.08960410824780368
29,0.04134879093499063,0.09160822145560099
30,0.04063787830335897,0.08946559608192586
31,0.03998023917513931,0.09206603896384251
32,0.03940176076063436,0.08942711590843092
33,0.03893658256524461,0.08870105224666912
34,0.03828168127730415,0.09302829918882277
35,0.037828610120492136,0.09135055242104972
36,0.03720894221602358,0.08970534445373396
37,0.03652030994578766,0.0877482391755242
38,0.03612189351793029,0.08852978679822553
39,0.03618172811340328,0.09139090048208445
40,0.0353511637175184,0.08886072953128003
